"Name","Photo","Business","Event","Year","Short Description","Long Description","Website","Email","Phone","ID","Created Date","Updated Date","Owner","Alumni-40u40-Niagara 40u40 Ni... (Year)","Alumni-40u40-Niagara 40... (Year, Name)"
"Savanna Mehrad","wix:image://v1/5dfc93_40fb1906a989490bab3d832513a2645c~mv2.jpg/Savanna%20Mehrad_edited.jpg#originWidth=498&originHeight=570","Chomp Supply Inc. & Femme Wares","40u40 Niagara",2020,,,,,,"000f52bf-229c-4515-98f6-570fae7a2c5f",2023-02-25T20:43:26Z,2023-03-03T23:55:31Z,"d98df47f-365b-4f0a-8a2d-49570b86f8c3","/alumni/40u40/niagara/2020","/alumni/40u40/niagara/2020/savanna-mehrad"
"Gina Delle Rose-Ash","wix:image://v1/8fde95_3ac6f97da9c2464ba710e3f1407d8eb9~mv2.jpg/Gina%20Delle%20Rose-Ash%20Headshot.jpg#originWidth=960&originHeight=960","Hamilton-Oshawa Port Authority","40u40 Niagara",2023,,,,,,"00562336-bb7f-43c4-af8d-d909bf440a15",2024-06-11T21:57:34Z,2024-06-11T22:00:18Z,"a3583ac7-0c32-4751-bbf4-ab157b07101d","/alumni/40u40/niagara/2023","/alumni/40u40/niagara/2023/gina-delle-rose-ash"
"Jesse Barraza","wix:image://v1/5dfc93_4ba3561ab9be456c95e1b25f02b0201b~mv2.jpg/Barraza-Jesse.jpg#originWidth=1759&originHeight=2345","Brookdale Treeland Nurseries Limited","40u40 Niagara",2017,,,,,,"00c0767c-47cf-43a5-8f66-0e7557f99941",2023-02-25T20:43:25Z,2023-03-03T13:43:44Z,"d98df47f-365b-4f0a-8a2d-49570b86f8c3","/alumni/40u40/niagara/2017","/alumni/40u40/niagara/2017/jesse-barraza"
"Michael Somerville",,"Tridacom Technologies CorporationTridacom Technologies Corporation","40u40 Niagara",2008,,,,,,"00e53a9f-8818-4ede-be1e-4d0addf3d459",2023-02-25T20:43:23Z,2023-02-25T20:43:23Z,"d98df47f-365b-4f0a-8a2d-49570b86f8c3","/alumni/40u40/niagara/2008","/alumni/40u40/niagara/2008/michael-somerville"
"Katie Gordon","wix:image://v1/5dfc93_74d1071727024c45bfee2699a7143428~mv2.jpg/Gordon-Katie.jpg#originWidth=1411&originHeight=1258","Napier Enterprises","40u40 Niagara",2013,,,,,,"01f5c852-fac2-45fc-b8b4-19170a129d0a",2023-02-25T20:43:24Z,2023-03-03T00:46:31Z,"d98df47f-365b-4f0a-8a2d-49570b86f8c3","/alumni/40u40/niagara/2013","/alumni/40u40/niagara/2013/katie-gordon"
"Lisa D'Amboise","wix:image://v1/a3583a_e6d7cb23b60e4d9f8e634fb429c7573c~mv2.png/Lisa%20D'Amboise.png#originWidth=1620&originHeight=1620","Brock University","40u40",2024,,,,,,"0266a794-27cd-441d-81ee-612038cde29b",2023-06-05T21:36:52Z,2024-06-11T21:42:15Z,"8fde9584-3c6a-4a1a-a5f0-764aa9503d82","/alumni/40u40/niagara/2024","/alumni/40u40/niagara/2024/lisa-d'amboise"
"Kelly Clark",,"Who is Nobody?","40u40 Niagara",2007,,,,,,"026e92d6-1388-4364-b791-e338d00c641d",2023-02-25T20:43:23Z,2023-02-25T20:43:23Z,"d98df47f-365b-4f0a-8a2d-49570b86f8c3","/alumni/40u40/niagara/2007","/alumni/40u40/niagara/2007/kelly-clark"
"Annemarie Bolle","wix:image://v1/5dfc93_fcec3c42bd4c4861baf5e8854dfcdf20~mv2.jpg/Bolle-Annemarie.jpg#originWidth=662&originHeight=662","HeroDogTreats   ","40u40 Niagara",2017,,,,,,"028014f1-e37d-49f9-b73b-2cbf5335a318",2023-02-25T20:43:25Z,2023-03-03T13:34:09Z,"d98df47f-365b-4f0a-8a2d-49570b86f8c3","/alumni/40u40/niagara/2017","/alumni/40u40/niagara/2017/annemarie-bolle"
"Suzie Graham",,"IG Wealth Management","40u40 Niagara",2006,,,,,,"02accaf9-29e3-4309-81ce-2e4251fa57d2",2023-02-25T20:43:22Z,2023-02-25T20:43:22Z,"d98df47f-365b-4f0a-8a2d-49570b86f8c3","/alumni/40u40/niagara/2006","/alumni/40u40/niagara/2006/suzie-graham"
"Brad Rempel","wix:image://v1/5dfc93_6d3453fc3b0e443398f177405aaf80b6~mv2.jpg/Brad%20Rempel_edited.jpg#originWidth=800&originHeight=785","Chef Bran Rempel","40u40 Niagara",2019,,,,,,"02d79d81-c5b9-4b54-9a96-4b2af909bd42",2023-02-25T20:43:26Z,2023-03-04T00:10:15Z,"d98df47f-365b-4f0a-8a2d-49570b86f8c3","/alumni/40u40/niagara/2019","/alumni/40u40/niagara/2019/brad-rempel"
